OBJECTID,tipo,fecha_ingr,codigo_1,parroquia,plataforma
112,EXCEDENTES,04-06-206,1178978,Riobamba,B
170,IPRUS,1188486,1188486,Riobamba,SIN PLATAFORMA
200,IPRUS,19-06-20026,111697,Riobamba,SIN PLATAFORMA
205,EXCEDENTES,2206-2026,1191961,San Luis,SIN PLATAFORMA
206,IPRUS,22-06-20026,1191961,Riobamba,L
259,IPRUS,06-07-226,1201414,Riobamba,H
313,IPRUS,17-07/-2026,1210125,Riobamba,A
325,IPRUS,21/07/02026,1211662,Riobamba,P
379,EXCEDENTES,31/007/2026,1140534,Cubijíes,SIN PLATAFORMA
429,IPRUS,IPRUS,1225583,Riobamba,L
432,IPRUS,13/08/20216,1226778,Riobamba,SIN PLATAFORMA
557,EXCEDENTES,0809/2026,1240477,Riobamba,M
580,TRANSFERENCIA DE DOMINIO,,,San Luis,SIN PLATAFORMA
581,TRANSFERENCIA DE DOMINIO,,,San Luis,SIN PLATAFORMA
582,TRANSFERENCIA DE DOMINIO,,,Licán,SIN PLATAFORMA
583,TRANSFERENCIA DE DOMINIO,,,Licán,SIN PLATAFORMA
584,TRANSFERENCIA DE DOMINIO,,,San Luis,SIN PLATAFORMA
585,TRANSFERENCIA DE DOMINIO,,,Riobamba,SIN PLATAFORMA
586,TRANSFERENCIA DE DOMINIO,,,Licán,SIN PLATAFORMA
587,TRANSFERENCIA DE DOMINIO,,,San Luis,SIN PLATAFORMA
588,TRANSFERENCIA DE DOMINIO,,,San Luis,SIN PLATAFORMA
589,TRANSFERENCIA DE DOMINIO,,,Riobamba,Q
590,TRANSFERENCIA DE DOMINIO,,,Riobamba,D
591,TRANSFERENCIA DE DOMINIO,,,San Luis,SIN PLATAFORMA
592,TRANSFERENCIA DE DOMINIO,,,Licán,SIN PLATAFORMA
593,TRANSFERENCIA DE DOMINIO,,,Quimiag,SIN PLATAFORMA
594,TRANSFERENCIA DE DOMINIO,,,Pungalá,SIN PLATAFORMA
595,TRANSFERENCIA DE DOMINIO,,,Licán,SIN PLATAFORMA
596,TRANSFERENCIA DE DOMINIO,,,Riobamba,SIN PLATAFORMA
597,TRANSFERENCIA DE DOMINIO,,,San Juan,SIN PLATAFORMA
598,TRANSFERENCIA DE DOMINIO,,,Riobamba,SIN PLATAFORMA
599,TRANSFERENCIA DE DOMINIO,,,San Luis,SIN PLATAFORMA
600,TRANSFERENCIA DE DOMINIO,,,Riobamba,C
601,TRANSFERENCIA DE DOMINIO,,,Licto,SIN PLATAFORMA
602,TRANSFERENCIA DE DOMINIO,,,Riobamba,J
603,TRANSFERENCIA DE DOMINIO,,,Licto,SIN PLATAFORMA
